actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
303,15150,8.143801,50,0.0,643,32150,3.169907,11.313708,3.169907,73.67219618920684,0.0,0.0
303,15150,8.155922,50,0.0,647,32350,3.157786,11.313708,3.157786,199.64624145829248,0.0,0.0
303,15150,8.171541,50,0.0,652,32600,3.142167,11.313708,3.142167,212.38487791539654,0.0,0.0
303,15150,8.148712,50,0.0,657,32850,3.1649961,11.313708,3.1649961,169.36691890844187,0.0,0.0
303,15150,8.157589,50,0.0,662,33100,3.1561196,11.313708,3.1561196,240.82635232512072,0.0,0.0
303,15150,8.142557,50,0.0,667,33350,3.171151,11.313708,3.171151,202.96400819539653,0.0,0.0
304,15200,8.141438,50,0.0,672,33600,3.172271,11.313708,3.172271,109.95638765180169,0.0,0.0
304,15200,8.161811,50,0.0,676,33800,3.1518972,11.313708,3.1518972,220.68175934909388,0.0,0.0
304,15200,8.146399,50,0.0,681,34050,3.1673095,11.313708,3.1673095,227.24339178168879,0.0,0.0
304,15200,8.157038,50,0.0,686,34300,3.1566708,11.313708,3.1566708,221.49894381073088,0.0,0.0
306,15300,8.146206,50,0.0,688,34400,3.1675029,11.313708,3.1675029,65.11575916926138,0.0,0.0
306,15300,8.152427,50,0.0,691,34550,3.1612816,11.313708,3.1612816,125.53782203774362,0.0,0.0
306,15300,8.139235,50,0.0,694,34700,3.1744735,11.313708,3.1744735,167.42926486555535,0.0,0.0
306,15300,8.144176,50,0.0,698,34900,3.169533,11.313708,3.169533,147.25536456577913,0.0,0.0
306,15300,8.161047,50,0.0,701,35050,3.1526613,11.313708,3.1526613,164.603994006557,0.0,0.0
306,15300,8.159321,50,0.0,704,35200,3.154388,11.313708,3.154388,114.18652489760983,0.0,0.0
306,15300,8.16067,50,0.0,707,35350,3.1530378,11.313708,3.1530378,120.64051616822408,0.0,0.0
306,15300,8.151234,50,0.0,710,35500,3.1624746,11.313708,3.1624746,127.43725066615623,0.0,0.0
307,15350,8.174928,50,0.0,712,35600,3.1387806,11.313708,3.1387806,68.40983294792389,0.0,0.0
307,15350,8.152578,50,0.0,715,35750,3.1611304,11.313708,3.1611304,187.54830337875484,0.0,0.0
307,15350,8.134132,50,0.0,719,35950,3.1795762,11.313708,3.1795762,205.3792336198184,0.0,0.0
307,15350,8.144956,50,0.0,723,36150,3.168753,11.313708,3.168753,203.98108764520563,0.0,0.0
309,15450,8.15331,50,0.0,725,36250,3.1603985,11.313708,3.1603985,51.41595706183884,0.0,0.0
311,15550,8.157077,50,0.0,726,36300,3.1566312,11.313708,3.1566312,39.0215656207896,0.0,0.0
311,15550,8.1531925,50,0.0,730,36500,3.1605155,11.313708,3.1605155,219.3191872078309,0.0,0.0
311,15550,8.12535,50,0.0,735,36750,3.1883585,11.313708,3.1883585,227.0212574788719,0.0,0.0
311,15550,8.121453,50,0.0,739,36950,3.192255,11.313708,3.192255,139.63977281050452,0.0,0.0
